  138/2999     3.42G   0.02684   0.07993   0.01373    0.1205        36       640    0.9775    0.9726     0.986     0.799   0.01813   0.04562  0.009362
  139/2999     3.42G   0.02534    0.0738   0.01393    0.1131        32       640    0.9795    0.9699    0.9849    0.7821   0.01871   0.04572   0.00924
  140/2999     3.42G   0.03002   0.08313   0.01336    0.1265        80       640    0.9808    0.9714    0.9859    0.7764   0.02024   0.04613  0.008889
  141/2999     3.42G   0.02843   0.07566    0.0134    0.1175        33       640    0.9872     0.977    0.9875    0.7809   0.01926   0.04528  0.008873
  142/2999     3.42G   0.02807   0.07685   0.01341    0.1183        86       640    0.9866    0.9749    0.9877    0.7486   0.02203   0.04579  0.008874
  143/2999     3.42G   0.02863   0.07131   0.01276    0.1127        38       640    0.9868    0.9805    0.9872    0.8099   0.01734   0.04361  0.008719
  144/2999     3.42G   0.02673   0.07449   0.01301    0.1142        31       640    0.9847    0.9808    0.9869    0.8251   0.01656   0.04319  0.008303
  145/2999     3.42G   0.02441    0.0726   0.01306    0.1101        46       640    0.9919    0.9812    0.9886    0.8089   0.01752   0.04332  0.007991
  146/2999     3.42G   0.02653   0.07485   0.01262     0.114        74       640    0.9833    0.9848    0.9885    0.8074   0.01891   0.04348  0.007654
  147/2999     3.42G   0.02684    0.0745   0.01168     0.113        44       640    0.9911    0.9835    0.9889    0.7764   0.02127   0.04539  0.007592
  148/2999     3.42G   0.02825    0.0774   0.01189    0.1175        37       640    0.9908    0.9852    0.9888    0.8048   0.01772   0.04396  0.007242
  149/2999     3.42G   0.02499   0.07476   0.01089    0.1106        68       640    0.9927    0.9805    0.9885      0.78   0.01677   0.04414  0.006994
  150/2999     3.42G   0.02779   0.08108   0.01191    0.1208        49       640    0.9878    0.9849    0.9882    0.7466   0.01934   0.04708  0.006783
  151/2999     3.42G   0.02619    0.0749   0.01175    0.1128        21       640    0.9906    0.9859    0.9883    0.8442   0.01462   0.04317  0.006822
  152/2999     3.42G   0.02449   0.07672   0.01134    0.1125        56       640    0.9913    0.9847    0.9886    0.8189   0.01777   0.04409  0.006767
  153/2999     3.42G   0.02721   0.07504   0.01054    0.1128        61       640    0.9914    0.9841    0.9893    0.7984    0.0173   0.04382  0.006772
  154/2999     3.42G   0.02713   0.08684   0.01081    0.1248       109       640    0.9885    0.9806    0.9892    0.7454   0.01973   0.04681  0.006723
  155/2999     3.42G   0.02882   0.08244    0.0107     0.122        27       640    0.9855    0.9868    0.9895    0.8473   0.01562   0.04287  0.006624
  156/2999     3.42G   0.02183   0.07424    0.0112    0.1073        36       640    0.9901    0.9825    0.9896    0.8323   0.01529   0.04252  0.006339
  157/2999     3.42G   0.02472   0.07278   0.01014    0.1076        39       640    0.9894    0.9822    0.9895    0.8232   0.01683   0.04219  0.006245
  158/2999     3.42G   0.02519   0.07846   0.01026    0.1139        69       640    0.9869    0.9873    0.9899    0.8159   0.01469   0.04134  0.006049
  159/2999     3.42G   0.02347   0.07229    0.0111    0.1069        25       640     0.991     0.991      0.99    0.8448   0.01508   0.04078  0.005863
  160/2999     3.42G   0.02343   0.07402  0.009814    0.1073        46       640    0.9925    0.9901    0.9889    0.8565   0.01396   0.04037  0.005821
  161/2999     3.42G   0.02219   0.07237   0.01089    0.1054        36       640    0.9936    0.9867    0.9895    0.8601   0.01428   0.04065  0.005728
  162/2999     3.42G   0.02698   0.08041  0.009829    0.1172        98       640    0.9866     0.988    0.9885    0.7959   0.01744   0.04314  0.005671
  163/2999     3.42G   0.02674   0.07652   0.01024    0.1135        61       640    0.9916    0.9899    0.9892    0.8318   0.01617   0.04266  0.005488
  164/2999     3.42G   0.02372   0.07542  0.009856     0.109        34       640    0.9907    0.9919    0.9891    0.8509   0.01473    0.0417  0.005543
  165/2999     3.42G   0.02444   0.08008   0.01012    0.1146        39       640    0.9905    0.9918    0.9898    0.8467    0.0158   0.04336  0.005607
  166/2999     3.42G   0.02477   0.08395  0.009731    0.1184        59       640    0.9893      0.99    0.9895    0.8404   0.01458    0.0419  0.005777
  167/2999     3.42G   0.02371   0.07946  0.009213    0.1124        59       640    0.9933    0.9911    0.9896    0.8291   0.01522   0.04177  0.005489
  168/2999     3.42G   0.02372   0.07406  0.008714    0.1065        55       640    0.9904    0.9896    0.9887    0.8016    0.0159   0.04227  0.005168
  169/2999     3.42G   0.02651   0.07537  0.009166     0.111        42       640    0.9862    0.9911    0.9895    0.8251   0.01684   0.04212   0.00519
  170/2999     3.42G   0.02437   0.07274  0.009065    0.1062        28       640    0.9909      0.99    0.9902    0.8381    0.0154   0.04073  0.005309
  171/2999     3.42G   0.02194   0.07224  0.009257    0.1034        50       640    0.9888    0.9926    0.9907    0.8424   0.01365    0.0389  0.005317
  172/2999     3.42G   0.02211   0.07509  0.008665    0.1059        89       640    0.9897    0.9918    0.9908    0.8282    0.0164   0.04121   0.00534
  173/2999     3.42G    0.0243   0.07903  0.008747    0.1121        86       640    0.9939    0.9903    0.9906     0.845   0.01518   0.04006  0.005054
  174/2999     3.42G   0.02359   0.07294  0.008676    0.1052        45       640    0.9904    0.9915    0.9906    0.8379    0.0148   0.04129  0.004777
  175/2999     3.42G   0.02334   0.07624  0.008475    0.1081        46       640    0.9881    0.9922    0.9897    0.8302   0.01498   0.04088  0.004944
  176/2999     3.42G   0.02451   0.07367  0.008699    0.1069        48       640    0.9897    0.9925    0.9895    0.8321   0.01509   0.04076  0.005174
